fishery,management_area,target,opening_year,sex,size,new,old,very_old,unknown,total
TT14,bristol_bay,tanner_crab,2014,male,137,5,0,0,0,5
TT14,bristol_bay,tanner_crab,2014,male,138,4,0,0,0,4
TT14,bristol_bay,tanner_crab,2014,male,139,2,0,0,0,2
TT14,bristol_bay,tanner_crab,2014,male,140,1,0,0,0,1
TT14,bristol_bay,tanner_crab,2014,male,141,3,0,0,0,3
TT14,bristol_bay,tanner_crab,2014,male,142,3,0,0,0,3
TT14,bristol_bay,tanner_crab,2014,male,143,5,0,0,0,5
TT14,bristol_bay,tanner_crab,2014,male,144,4,0,0,0,4
TT14,bristol_bay,tanner_crab,2014,male,145,4,2,1,0,7
TT14,bristol_bay,tanner_crab,2014,male,146,3,0,1,0,4
TT14,bristol_bay,tanner_crab,2014,male,147,4,0,1,0,5
TT14,bristol_bay,tanner_crab,2014,male,148,3,0,0,0,3
TT14,bristol_bay,tanner_crab,2014,male,149,2,1,0,0,3
TT14,bristol_bay,tanner_crab,2014,male,150,1,0,0,0,1
TT14,bristol_bay,tanner_crab,2014,male,151,3,0,0,0,3
TT14,bristol_bay,tanner_crab,2014,male,152,3,1,1,0,5
TT14,bristol_bay,tanner_crab,2014,male,153,2,1,0,0,3
TT14,bristol_bay,tanner_crab,2014,male,154,4,0,0,0,4
TT14,bristol_bay,tanner_crab,2014,male,156,4,0,0,0,4
TT14,bristol_bay,tanner_crab,2014,male,157,4,0,0,0,4
TT14,bristol_bay,tanner_crab,2014,male,158,3,0,0,0,3
TT14,bristol_bay,tanner_crab,2014,male,160,2,2,1,0,5
TT14,bristol_bay,tanner_crab,2014,male,162,1,1,0,0,2
TT14,bristol_bay,tanner_crab,2014,male,164,2,0,0,0,2
TT14,bristol_bay,tanner_crab,2014,male,165,2,1,1,0,4
TT14,bristol_bay,tanner_crab,2014,male,166,1,0,1,0,2
TT14,bristol_bay,tanner_crab,2014,male,168,1,1,2,0,4
TT14,bristol_bay,tanner_crab,2014,male,170,1,0,0,0,1
TT14,bristol_bay,tanner_crab,2014,male,171,0,0,1,0,1
TT14,bristol_bay,tanner_crab,2014,male,172,0,0,2,0,2
TT14,bristol_bay,tanner_crab,2014,male,173,1,0,0,0,1
TT14,bristol_bay,tanner_crab,2014,male,176,1,0,0,0,1
TT14,bristol_bay,tanner_crab,2014,male,177,0,1,0,0,1
TT14,bristol_bay,tanner_crab,2014,male,179,1,0,0,0,1
TT15,bristol_bay,tanner_crab,2015,male,131,1,0,0,0,1
TT15,bristol_bay,tanner_crab,2015,male,133,1,0,0,0,1
TT15,bristol_bay,tanner_crab,2015,male,135,3,0,0,0,3
TT15,bristol_bay,tanner_crab,2015,male,136,3,0,0,0,3
TT15,bristol_bay,tanner_crab,2015,male,137,5,0,0,0,5
TT15,bristol_bay,tanner_crab,2015,male,138,6,1,0,0,7
TT15,bristol_bay,tanner_crab,2015,male,139,8,0,0,0,8
TT15,bristol_bay,tanner_crab,2015,male,140,6,0,0,0,6
TT15,bristol_bay,tanner_crab,2015,male,141,5,0,0,0,5
TT15,bristol_bay,tanner_crab,2015,male,142,8,1,0,0,9
TT15,bristol_bay,tanner_crab,2015,male,143,7,2,0,0,9
TT15,bristol_bay,tanner_crab,2015,male,144,1,0,0,0,1
TT15,bristol_bay,tanner_crab,2015,male,145,5,0,0,0,5
TT15,bristol_bay,tanner_crab,2015,male,146,8,0,0,0,8
TT15,bristol_bay,tanner_crab,2015,male,147,7,1,0,0,8
TT15,bristol_bay,tanner_crab,2015,male,148,11,0,0,0,11
TT15,bristol_bay,tanner_crab,2015,male,149,7,0,0,0,7
TT15,bristol_bay,tanner_crab,2015,male,150,5,3,0,0,8
TT15,bristol_bay,tanner_crab,2015,male,151,6,0,0,0,6
TT15,bristol_bay,tanner_crab,2015,male,152,5,3,0,0,8
TT15,bristol_bay,tanner_crab,2015,male,153,5,1,1,0,7
TT15,bristol_bay,tanner_crab,2015,male,154,9,3,0,0,12
TT15,bristol_bay,tanner_crab,2015,male,155,5,2,0,0,7
TT15,bristol_bay,tanner_crab,2015,male,156,7,3,1,0,11
TT15,bristol_bay,tanner_crab,2015,male,157,3,2,0,0,5
TT15,bristol_bay,tanner_crab,2015,male,158,6,2,0,0,8
TT15,bristol_bay,tanner_crab,2015,male,159,8,4,0,0,12
TT15,bristol_bay,tanner_crab,2015,male,160,5,0,0,0,5
TT15,bristol_bay,tanner_crab,2015,male,161,1,2,0,0,3
TT15,bristol_bay,tanner_crab,2015,male,162,2,3,0,0,5
TT15,bristol_bay,tanner_crab,2015,male,163,4,4,0,0,8
TT15,bristol_bay,tanner_crab,2015,male,164,5,2,0,0,7
TT15,bristol_bay,tanner_crab,2015,male,165,2,0,0,0,2
TT15,bristol_bay,tanner_crab,2015,male,166,5,1,1,0,7
TT15,bristol_bay,tanner_crab,2015,male,167,0,2,0,0,2
TT15,bristol_bay,tanner_crab,2015,male,168,1,4,0,0,5
TT15,bristol_bay,tanner_crab,2015,male,169,3,1,0,0,4
TT15,bristol_bay,tanner_crab,2015,male,170,1,0,0,0,1
TT15,bristol_bay,tanner_crab,2015,male,171,1,2,0,0,3
TT15,bristol_bay,tanner_crab,2015,male,172,2,0,0,0,2
TT15,bristol_bay,tanner_crab,2015,male,174,0,1,0,0,1
TT15,bristol_bay,tanner_crab,2015,male,175,0,1,0,0,1
TT15,bristol_bay,tanner_crab,2015,male,176,0,1,0,0,1
TT15,bristol_bay,tanner_crab,2015,male,177,1,0,0,0,1
TT15,bristol_bay,tanner_crab,2015,male,183,0,2,0,0,2
TT15,bristol_bay,tanner_crab,2015,male,185,1,0,0,0,1
TT91,bristol_bay,tanner_crab,1991,male,133,1,0,0,0,1
TT91,bristol_bay,tanner_crab,1991,male,134,4,1,0,0,5
TT91,bristol_bay,tanner_crab,1991,male,135,1,0,0,0,1
TT91,bristol_bay,tanner_crab,1991,male,136,3,0,0,0,3
TT91,bristol_bay,tanner_crab,1991,male,137,9,5,0,1,15
TT91,bristol_bay,tanner_crab,1991,male,138,11,1,2,2,16
TT91,bristol_bay,tanner_crab,1991,male,139,13,0,0,1,14
TT91,bristol_bay,tanner_crab,1991,male,140,12,1,0,0,13
TT91,bristol_bay,tanner_crab,1991,male,141,7,1,1,0,9
TT91,bristol_bay,tanner_crab,1991,male,142,11,2,1,2,16
TT91,bristol_bay,tanner_crab,1991,male,143,13,3,2,1,19
TT91,bristol_bay,tanner_crab,1991,male,144,13,2,0,0,15
TT91,bristol_bay,tanner_crab,1991,male,145,3,4,0,0,7
TT91,bristol_bay,tanner_crab,1991,male,146,11,3,2,0,16
TT91,bristol_bay,tanner_crab,1991,male,147,7,0,0,2,9
TT91,bristol_bay,tanner_crab,1991,male,148,8,2,4,1,15
TT91,bristol_bay,tanner_crab,1991,male,149,12,3,2,0,17
TT91,bristol_bay,tanner_crab,1991,male,150,6,2,1,0,9
TT91,bristol_bay,tanner_crab,1991,male,151,6,1,1,0,8
TT91,bristol_bay,tanner_crab,1991,male,152,15,2,2,1,20
TT91,bristol_bay,tanner_crab,1991,male,153,10,2,1,2,15
TT91,bristol_bay,tanner_crab,1991,male,154,6,1,2,3,12
TT91,bristol_bay,tanner_crab,1991,male,155,5,3,1,0,9
TT91,bristol_bay,tanner_crab,1991,male,156,7,1,0,0,8
TT91,bristol_bay,tanner_crab,1991,male,157,10,1,0,1,12
TT91,bristol_bay,tanner_crab,1991,male,158,11,3,1,0,15
TT91,bristol_bay,tanner_crab,1991,male,159,5,3,1,0,9
TT91,bristol_bay,tanner_crab,1991,male,160,7,1,1,0,9
TT91,bristol_bay,tanner_crab,1991,male,161,3,3,0,0,6
TT91,bristol_bay,tanner_crab,1991,male,162,6,1,3,0,10
TT91,bristol_bay,tanner_crab,1991,male,163,4,1,1,0,6
TT91,bristol_bay,tanner_crab,1991,male,164,1,1,0,0,2
TT91,bristol_bay,tanner_crab,1991,male,165,3,0,0,1,4
TT91,bristol_bay,tanner_crab,1991,male,166,2,0,0,0,2
TT91,bristol_bay,tanner_crab,1991,male,167,5,0,2,1,8
TT91,bristol_bay,tanner_crab,1991,male,168,6,2,0,0,8
TT91,bristol_bay,tanner_crab,1991,male,169,5,1,0,0,6
TT91,bristol_bay,tanner_crab,1991,male,170,2,0,1,0,3
TT91,bristol_bay,tanner_crab,1991,male,171,3,1,0,0,4
TT91,bristol_bay,tanner_crab,1991,male,172,2,0,0,0,2
TT91,bristol_bay,tanner_crab,1991,male,173,1,0,0,0,1
TT91,bristol_bay,tanner_crab,1991,male,174,2,0,0,0,2
TT91,bristol_bay,tanner_crab,1991,male,179,0,0,1,0,1
TT91,bristol_bay,tanner_crab,1991,male,180,1,0,0,0,1
TT91,bristol_bay,tanner_crab,1991,male,181,1,0,0,0,1
TT92,bristol_bay,tanner_crab,1992,male,90,1,0,0,0,1
TT92,bristol_bay,tanner_crab,1992,male,120,1,0,0,0,1
TT92,bristol_bay,tanner_crab,1992,male,137,0,1,0,0,1
TT92,bristol_bay,tanner_crab,1992,male,138,2,0,0,0,2
TT92,bristol_bay,tanner_crab,1992,male,139,2,1,0,0,3
TT92,bristol_bay,tanner_crab,1992,male,140,2,1,0,0,3
TT92,bristol_bay,tanner_crab,1992,male,141,1,0,0,0,1
TT92,bristol_bay,tanner_crab,1992,male,142,0,1,0,0,1
TT92,bristol_bay,tanner_crab,1992,male,145,1,0,0,0,1
TT92,bristol_bay,tanner_crab,1992,male,146,1,0,0,0,1
TT92,bristol_bay,tanner_crab,1992,male,147,1,0,0,0,1
TT92,bristol_bay,tanner_crab,1992,male,148,3,1,0,0,4
TT92,bristol_bay,tanner_crab,1992,male,149,2,0,0,0,2
TT92,bristol_bay,tanner_crab,1992,male,150,4,1,0,0,5
TT92,bristol_bay,tanner_crab,1992,male,151,2,0,0,0,2
TT92,bristol_bay,tanner_crab,1992,male,152,0,2,0,0,2
TT92,bristol_bay,tanner_crab,1992,male,153,2,1,0,0,3
TT92,bristol_bay,tanner_crab,1992,male,154,1,0,0,0,1
TT92,bristol_bay,tanner_crab,1992,male,155,1,1,0,0,2
TT92,bristol_bay,tanner_crab,1992,male,157,1,0,1,0,2
TT92,bristol_bay,tanner_crab,1992,male,158,3,0,0,0,3
TT92,bristol_bay,tanner_crab,1992,male,160,2,1,0,0,3
TT92,bristol_bay,tanner_crab,1992,male,161,1,1,0,0,2
TT92,bristol_bay,tanner_crab,1992,male,162,1,0,0,0,1
TT92,bristol_bay,tanner_crab,1992,male,163,1,2,0,0,3
TT92,bristol_bay,tanner_crab,1992,male,166,1,1,0,0,2
TT92,bristol_bay,tanner_crab,1992,male,168,0,1,0,0,1
TT92,bristol_bay,tanner_crab,1992,male,169,0,1,0,0,1
TT92,bristol_bay,tanner_crab,1992,male,170,0,1,0,0,1
TT92,bristol_bay,tanner_crab,1992,male,172,0,1,0,0,1
TT92,bristol_bay,tanner_crab,1992,male,175,1,0,0,0,1
TT93,bristol_bay,tanner_crab,1993,male,135,3,0,0,0,3
TT93,bristol_bay,tanner_crab,1993,male,138,3,0,0,0,3
TT93,bristol_bay,tanner_crab,1993,male,139,2,0,0,0,2
TT93,bristol_bay,tanner_crab,1993,male,140,0,1,0,0,1
TT93,bristol_bay,tanner_crab,1993,male,141,1,0,0,0,1
TT93,bristol_bay,tanner_crab,1993,male,142,0,1,0,0,1
TT93,bristol_bay,tanner_crab,1993,male,143,2,2,0,0,4
TT93,bristol_bay,tanner_crab,1993,male,144,3,1,0,0,4
TT93,bristol_bay,tanner_crab,1993,male,145,2,0,0,0,2
TT93,bristol_bay,tanner_crab,1993,male,146,4,0,0,0,4
TT93,bristol_bay,tanner_crab,1993,male,147,3,0,0,0,3
TT93,bristol_bay,tanner_crab,1993,male,149,6,0,0,0,6
TT93,bristol_bay,tanner_crab,1993,male,150,4,1,0,0,5
TT93,bristol_bay,tanner_crab,1993,male,152,1,0,0,0,1
TT93,bristol_bay,tanner_crab,1993,male,153,1,0,0,0,1
TT93,bristol_bay,tanner_crab,1993,male,156,2,1,0,0,3
TT93,bristol_bay,tanner_crab,1993,male,157,1,1,0,0,2
TT93,bristol_bay,tanner_crab,1993,male,161,2,0,0,0,2
TT93,bristol_bay,tanner_crab,1993,male,164,1,0,0,0,1
TT93,bristol_bay,tanner_crab,1993,male,165,1,1,0,0,2
TT93,bristol_bay,tanner_crab,1993,male,166,1,0,0,0,1
TT93,bristol_bay,tanner_crab,1993,male,167,1,0,0,0,1
TT93,bristol_bay,tanner_crab,1993,male,171,1,0,0,0,1
TT93,bristol_bay,tanner_crab,1993,male,172,1,1,0,0,2
TT93,bristol_bay,tanner_crab,1993,male,178,1,0,0,0,1
TT94,bristol_bay,tanner_crab,1994,male,155,1,0,0,0,1
TT94,bristol_bay,tanner_crab,1994,male,168,1,0,0,0,1
TT94,bristol_bay,tanner_crab,1994,male,174,1,0,0,0,1
TT94,bristol_bay,tanner_crab,1994,male,175,1,0,0,0,1
