fishery,management_area,target,opening_year,group,total_catch_num,total_catch_lbs
TR17,bristol_bay,red_king_crab,2017,sublegal,699765.8384074941,1993967.740885257
TR17,bristol_bay,red_king_crab,2017,tot_legal,1028230.8793911007,6994708.497130423
TR17,bristol_bay,red_king_crab,2017,female,233063.36299765809,588428.1544786672
TR18,bristol_bay,red_king_crab,2018,sublegal,799675.5169172932,2257098.045535234
TR18,bristol_bay,red_king_crab,2018,tot_legal,741134.8214285714,5289865.550208087
TR18,bristol_bay,red_king_crab,2018,female,591898.1203007519,1654406.6857814407
TR19,bristol_bay,red_king_crab,2019,sublegal,688982.3333333334,2204523.4028814477
TR19,bristol_bay,red_king_crab,2019,tot_legal,673220.1016442452,4728185.960319623
TR19,bristol_bay,red_king_crab,2019,female,151966.7653213752,480692.7444666798
TR20,bristol_bay,red_king_crab,2020,sublegal,566071.7547169811,1719727.6917743883
TR20,bristol_bay,red_king_crab,2020,tot_legal,552176.716981132,3350166.860343244
TR20,bristol_bay,red_king_crab,2020,female,64575.00628930818,167739.56620239757
TR21,bristol_bay,red_king_crab,2021,sublegal,8114.4000000000005,25844.717610803356
TR21,bristol_bay,red_king_crab,2021,tot_legal,8055.5999999999995,48742.575481818494
TR21,bristol_bay,red_king_crab,2021,female,21065.100000000002,64836.31325610138
