fishery,management_area,target,opening_year,sex,size,soft,new,old,very_old,unknown,total
TT15,bristol_bay,tanner_crab,2015,male,73,0,3,0,0,0,3
TT15,bristol_bay,tanner_crab,2015,male,74,0,4,0,0,0,4
TT15,bristol_bay,tanner_crab,2015,male,76,0,4,0,0,0,4
TT15,bristol_bay,tanner_crab,2015,male,77,0,1,0,0,0,1
TT15,bristol_bay,tanner_crab,2015,male,80,0,1,0,0,0,1
TT15,bristol_bay,tanner_crab,2015,male,82,0,3,0,0,0,3
TT15,bristol_bay,tanner_crab,2015,male,83,0,2,0,0,0,2
TT15,bristol_bay,tanner_crab,2015,male,84,0,1,0,0,0,1
TT15,bristol_bay,tanner_crab,2015,male,85,0,4,0,0,0,4
TT15,bristol_bay,tanner_crab,2015,male,86,0,11,0,0,0,11
TT15,bristol_bay,tanner_crab,2015,male,87,0,16,0,0,0,16
TT15,bristol_bay,tanner_crab,2015,male,88,0,12,0,0,0,12
TT15,bristol_bay,tanner_crab,2015,male,89,0,9,0,0,0,9
TT15,bristol_bay,tanner_crab,2015,male,90,0,14,0,0,0,14
TT15,bristol_bay,tanner_crab,2015,male,91,0,19,0,0,0,19
TT15,bristol_bay,tanner_crab,2015,male,92,0,20,0,0,0,20
TT15,bristol_bay,tanner_crab,2015,male,93,0,11,0,0,0,11
TT15,bristol_bay,tanner_crab,2015,male,94,0,7,0,0,0,7
TT15,bristol_bay,tanner_crab,2015,male,95,0,7,0,0,0,7
TT15,bristol_bay,tanner_crab,2015,male,96,0,14,0,0,0,14
TT15,bristol_bay,tanner_crab,2015,male,97,0,11,0,0,0,11
TT15,bristol_bay,tanner_crab,2015,male,98,0,8,0,0,0,8
TT15,bristol_bay,tanner_crab,2015,male,99,0,11,0,0,0,11
TT15,bristol_bay,tanner_crab,2015,male,100,0,4,0,0,0,4
TT15,bristol_bay,tanner_crab,2015,male,101,0,5,0,0,0,5
TT15,bristol_bay,tanner_crab,2015,male,102,0,6,0,0,0,6
TT15,bristol_bay,tanner_crab,2015,male,103,0,12,0,0,0,12
TT15,bristol_bay,tanner_crab,2015,male,104,0,6,0,0,0,6
TT15,bristol_bay,tanner_crab,2015,male,105,0,9,0,0,0,9
TT15,bristol_bay,tanner_crab,2015,male,106,0,10,0,0,0,10
TT15,bristol_bay,tanner_crab,2015,male,107,0,4,0,0,0,4
TT15,bristol_bay,tanner_crab,2015,male,108,0,10,1,0,0,11
TT15,bristol_bay,tanner_crab,2015,male,109,0,10,0,0,0,10
TT15,bristol_bay,tanner_crab,2015,male,110,0,11,0,0,1,12
TT15,bristol_bay,tanner_crab,2015,male,111,0,9,0,0,0,9
TT15,bristol_bay,tanner_crab,2015,male,112,0,12,0,0,0,12
TT15,bristol_bay,tanner_crab,2015,male,113,0,8,1,0,0,9
TT15,bristol_bay,tanner_crab,2015,male,114,0,17,0,0,0,17
