index,name,value,std.dev,index,name,value,std.dev
140,$log-fdev[2]$,-0.77442,0.10352,190,$log-fdev[3]$,1.0639,0.13282
141,$log-fdev[2]$,-1.2399,0.1034,191,$log-fdev[4]$,0.56164,0.10288
142,$log-fdev[2]$,0.058132,0.10378,192,$log-fdev[4]$,-0.099507,0.10196
193,$log-fdev[4]$,-0.31421,0.10246,243,$log-fdov[1]$,-0.22643,0.078093
194,$log-fdev[4]$,0.60621,0.10172,244,$log-fdov[1]$,0.83367,0.078632
195,$log-fdev[4]$,-1.822,0.10121,245,$log-fdov[1]$,0.28653,0.080179
196,$log-fdev[4]$,0.13327,0.10085,246,$log-fdov[1]$,-0.36434,0.083042
197,$log-fdev[4]$,-0.12417,0.10048,247,$log-fdov[1]$,0.96394,0.087283
198,$log-fdev[4]$,-0.95748,0.1004,248,$log-fdov[1]$,-0.10637,0.091049
199,$log-fdev[4]$,-0.7831,0.1002,249,$log-fdov[1]$,-0.62618,0.09297
200,$log-fdev[4]$,-0.5087,0.10007,250,$log-fdov[1]$,2.9719,0.093538
201,$log-fdev[4]$,-0.55496,0.099843,251,$log-fdov[3]$,-0.000016451,0.096245
202,$log-fdev[4]$,-0.0075003,0.099832,252,$log-fdov[3]$,0.000079821,0.096245
203,$log-fdev[4]$,-0.70657,0.10013,253,$log-fdov[3]$,0.00028688,0.096251
204,$log-fdev[4]$,-1.7032,0.09989,254,$log-fdov[3]$,0.00022945,0.096256
205,$log-fdev[4]$,-2.5377,0.09948,255,$log-fdov[3]$,0.00039758,0.096263
206,$log-fdev[4]$,-1.0571,0.099246,256,$log-fdov[3]$,0.000057795,0.096256
207,$log-fdev[4]$,-0.50138,0.099254,257,$log-fdov[3]$,-0.00012087,0.096252
208,$log-fdev[4]$,0.6391,0.099218,258,$log-fdov[3]$,-0.00018031,0.096248
209,$log-fdev[4]$,1.491,0.0994,259,$log-fdov[3]$,-0.00015483,0.096245
210,$log-fdev[4]$,1.1751,0.099821,260,$log-fdov[3]$,-0.000091948,0.096243
211,$log-fdev[4]$,0.34505,0.10062,261,$log-fdov[3]$,-0.000089517,0.096244
212,$log-fdev[4]$,1.9485,0.10206,262,$log-fdov[3]$,0.000075104,0.096244
213,$log-fdev[4]$,2.2071,0.10341,263,$log-fdov[3]$,0.0003331,0.096248
214,$log-fdev[4]$,1.0046,0.10508,264,$log-fdov[3]$,0.0007695,0.096263
215,$log-fdev[4]$,0.79481,0.10712,265,$log-fdov[3]$,1.5461,0.16891
216,$log-fdev[4]$,0.77106,0.10856,266,$log-fdov[3]$,1.8041,0.12041
217,$log-foff[1]$,-2.781,0.039207,267,$log-fdov[3]$,0.57317,0.14099
218,$log-foff[3]$,-0.09472,0.41389,268,$log-fdov[3]$,-3.4397,0.10833
219,$log-fdov[1]$,1.9692,0.083433,269,$log-fdov[3]$,-2.1342,0.14517
220,$log-fdov[1]$,-0.70069,0.082592,270,$log-fdov[3]$,-0.77527,0.12599
221,$log-fdov[1]$,1.9731,0.083878,271,$log-fdov[3]$,0.042656,0.13159
222,$log-fdov[1]$,1.8095,0.085521,272,$log-fdov[3]$,0.38741,0.10244
223,$log-fdov[1]$,-0.42109,0.084337,273,$log-fdov[3]$,0.94259,0.16746
224,$log-fdov[1]$,-0.19094,0.082254,274,$log-fdov[3]$,0.16214,0.15237
225,$log-fdov[1]$,-3.6958,0.081261,275,$log-fdov[3]$,0.88934,0.16685
226,$log-fdov[1]$,-0.32836,0.081937,276,rec-dev-est,1.0659,0.26931
227,$log-fdov[1]$,1.4567,0.082098,277,rec-dev-est,0.62723,0.29461
228,$log-fdov[1]$,-2.7733,0.081327,278,rec-dev-est,1.0732,0.24041
229,$log-fdov[1]$,1.1551,0.080535,279,rec-dev-est,1.6579,0.20665
230,$log-fdov[1]$,0.88102,0.080461,280,rec-dev-est,1.9213,0.216
231,$log-fdov[1]$,-1.8656,0.07989,281,rec-dev-est,1.1274,0.25677
232,$log-fdov[1]$,1.2178,0.07996,282,rec-dev-est,2.396,0.16514
233,$log-fdov[1]$,0.42488,0.080045,283,rec-dev-est,1.4422,0.17931
234,$log-fdov[1]$,0.95818,0.079484,284,rec-dev-est,1.0719,0.16644
235,$log-fdov[1]$,-1.226,0.079015,285,rec-dev-est,-0.76833,0.25008
236,$log-fdov[1]$,-0.18655,0.078984,286,rec-dev-est,0.32204,0.16271
237,$log-fdov[1]$,-0.44972,0.079293,287,rec-dev-est,-0.84265,0.24463
238,$log-fdov[1]$,-0.71433,0.079483,288,rec-dev-est,-1.2692,0.27662
239,$log-fdov[1]$,-0.23277,0.079285,289,rec-dev-est,-1.0076,0.22285
240,$log-fdov[1]$,-1.129,0.078429,290,rec-dev-est,-0.05389,0.16366
241,$log-fdov[1]$,-1.8454,0.078021,291,rec-dev-est,-0.51767,0.18378
242,$log-fdov[1]$,0.17771,0.077983,292,rec-dev-est,-1.9847,0.35713
293,rec-dev-est,-0.8862,0.19724,339,logit-rec-prop-est,0.75128,0.73656
294,rec-dev-est,-2.0231,0.42372,340,logit-rec-prop-est,0.23143,0.28366
295,rec-dev-est,0.99383,0.14671,341,logit-rec-prop-est,-0.22206,0.6917
296,rec-dev-est,-0.93587,0.26036,342,logit-rec-prop-est,-0.29823,0.086819
297,rec-dev-est,-1.5991,0.33919,343,logit-rec-prop-est,1.317,0.65959
298,rec-dev-est,-0.57299,0.19839,344,logit-rec-prop-est,0.43079,0.64577
299,rec-dev-est,0.42284,0.15531,345,logit-rec-prop-est,0.49782,0.32368
