"","year","sex","recruit","lb","ub","recruit_tons"
"63",1999,"Male",1106818.23258289,718089.577501569,1705980.19851532,828.372649357314
"64",2000,"Male",750879.150733992,499498.16330654,1128771.91634634,561.978230146389
"65",2001,"Male",47858.3076303337,13859.8409886818,165255.691685789,35.8184496048478
"66",2002,"Male",47004.5648291297,13302.9407660779,166085.766570489,35.179485441371
"67",2003,"Male",62442.4118147205,19473.3004765194,200225.678124803,46.7335869472559
"68",2004,"Male",1137109.41566725,693761.832671229,1863777.68609804,851.043388639595
"69",2005,"Male",1319812.18454031,874699.082083352,1991432.52592903,987.783073838947
"70",2006,"Male",1681169.0962755,1155011.43231815,2447014.33352847,1258.23234321818
"71",2007,"Male",770658.019753258,406673.365318363,1460419.67352612,576.781269749872
"72",2008,"Male",935653.037212842,598803.274530221,1461993.68520894,700.267995682096
"73",2009,"Male",806936.292082383,537999.65614068,1210309.65735301,603.932908274342
"74",2010,"Male",483593.520904669,257931.05512648,906686.840583415,361.934448070119
"75",2011,"Male",403931.262443164,221028.117298021,738188.728083555,302.31306295655
"76",2012,"Male",372875.551177875,230262.95097865,603814.795542579,279.070130141404
"77",2013,"Male",355755.864248374,227602.325802954,556067.406168241,266.257294211818
"78",2014,"Male",146239.358492157,73232.4860502018,292028.184835039,109.44948435821
"79",2015,"Male",54393.5032412555,17302.6543612046,170994.180031143,40.7095664503431
"80",2016,"Male",43564.5924659086,13736.0027117983,138167.8321227,32.6049172454826
"81",2017,"Male",34098.2042297241,10905.952281054,106610.363013583,25.5200166970397
"82",2018,"Male",550730.027598125,324059.623178392,935949.873431981,412.181222365182
"83",1978,"Male",3878658.87082942,2741622.34538524,5487260.00194233,2902.89302271825
"84",1979,"Male",3035843.90049027,1921156.6797861,4797291.2803604,2272.10754291223
"85",1980,"Male",844922.342711936,271386.043238555,2630547.08596895,632.362694188866
"86",1981,"Male",1376424.84024507,737639.424870389,2568389.48267516,1030.1535139101
"87",1982,"Male",555153.538269565,207125.630752745,1487963.85040886,415.491897186476
"88",1983,"Male",549080.313324028,269574.050086693,1118390.9963999,410.946531660162
"89",1984,"Male",858549.829370117,506038.68605437,1456623.43576685,642.561873145989
"90",1985,"Male",1215905.95636275,702359.036311281,2104945.21788026,910.016847202706
"91",1986,"Male",1134837.46953936,655247.823796715,1965448.85080007,849.343002814935
"92",1987,"Male",1047587.01862383,588325.002779741,1865361.07832226,784.042409587577
"93",1988,"Male",2663096.2297867,1884840.95255111,3762694.94755252,1993.13312197057
"94",1989,"Male",1370930.13761562,806269.392890206,2331044.01431583,1026.04113010524
"95",1990,"Male",1612022.24245093,1060203.68151289,2451053.27916645,1206.48097085082
"96",1991,"Male",1756792.04119165,1184097.21699048,2606473.71829699,1314.83059701294
"97",1992,"Male",2010713.11359947,1384426.31666507,2920319.54068883,1504.87198347191
"98",1993,"Male",1355932.54409165,861150.702471434,2134995.72008751,1014.81652617688
"99",1994,"Male",1638022.04206705,1126361.17998466,2382109.98210541,1225.93992287811
"100",1995,"Male",1249182.63075544,738565.595778822,2112821.46623087,934.922008788403
"101",1996,"Male",672663.174709978,339761.370938731,1331745.70540716,503.439281858664
"102",1997,"Male",502323.694181361,248891.216883242,1013812.76887075,375.952615465073
"103",1998,"Male",232582.434928342,117765.283543077,459342.408982606,174.070974026115
"104",1999,"Male",250196.027602395,148204.269430198,422376.848310036,187.253462350378
"105",2000,"Male",290686.312263053,182792.553244884,462264.630791015,217.5574846281
"106",2001,"Male",140364.796225652,51070.0551739287,385789.205677747,105.052803344776
"107",2002,"Male",383463.607657587,250891.938121777,586086.34258467,286.994517488345
"108",2003,"Male",197008.075644654,96760.138877409,401117.467580147,147.446163030501
"109",2004,"Male",383463.607657587,205473.674481619,715635.902111274,286.994517488345
"110",2005,"Male",645641.709729802,447451.396667686,931616.753120588,483.215687887946
"111",2006,"Male",476393.751357872,244999.43906656,926332.758954478,356.545946147518
"112",2007,"Male",1044448.96699893,758061.957946665,1439029.66403953,781.693807024111
"113",2008,"Male",845767.687656674,590851.502493778,1210664.57217252,632.995373169822
"114",2009,"Male",918043.450333041,648713.727155454,1299192.14195606,687.088505402407
"115",2010,"Male",743407.778349905,491599.873819069,1124197.04386365,556.386453327085
"116",2011,"Male",400712.703744043,217362.816112617,738721.892794529,299.904206725043
"117",2012,"Male",600189.069264095,391392.119653606,920373.458675952,449.197704542119
"118",2013,"Male",539285.287381947,342626.838665991,848820.315183023,403.615669779408
"119",2014,"Male",466960.523052615,288742.451937418,755178.632814381,349.4858633867
"120",2015,"Male",572060.48055021,357655.388561253,914995.84201369,428.145509276752
"121",2016,"Male",436262.759409,239699.56364513,794015.610011401,326.510828236199
"122",2017,"Male",513497.274169124,280047.13296416,941553.829843586,384.315224414575
"123",2018,"Male",622189.50765257,293511.822931663,1318923.98597885,465.66342664389
